,Sex,Rank,Years,Degree,YD,Salary,Sex_female,Sex_male,Degree_masters,Rank_assistant,Rank_associate,Rank_full
0,male,full,25,doctorate,35,36350,0,1,0,0,0,1
1,male,full,13,doctorate,22,35350,0,1,0,0,0,1
2,male,full,10,doctorate,23,28200,0,1,0,0,0,1
3,female,full,7,doctorate,27,26775,1,0,0,0,0,1
4,male,full,19,masters,30,33696,0,1,1,0,0,1
5,male,full,16,doctorate,21,28516,0,1,0,0,0,1
6,female,full,0,masters,32,24900,1,0,1,0,0,1
7,male,full,16,doctorate,18,31909,0,1,0,0,0,1
8,male,full,13,masters,30,31850,0,1,1,0,0,1
9,male,full,13,masters,31,32850,0,1,1,0,0,1
10,male,full,12,doctorate,22,27025,0,1,0,0,0,1
11,male,associate,15,doctorate,19,24750,0,1,0,0,1,0
12,male,full,9,doctorate,17,28200,0,1,0,0,0,1
13,male,associate,9,masters,27,23712,0,1,1,0,1,0
14,male,full,9,doctorate,24,25748,0,1,0,0,0,1
15,male,full,7,doctorate,15,29342,0,1,0,0,0,1
16,male,full,13,doctorate,20,31114,0,1,0,0,0,1
17,male,associate,11,masters,14,24742,0,1,1,0,1,0
18,male,associate,10,masters,15,22906,0,1,1,0,1,0
19,male,full,6,masters,21,24450,0,1,1,0,0,1
20,male,assistant,16,masters,23,19175,0,1,1,1,0,0
21,male,associate,8,masters,31,20525,0,1,1,0,1,0
22,male,full,7,doctorate,13,27959,0,1,0,0,0,1
23,female,full,8,doctorate,24,38045,1,0,0,0,0,1
24,male,associate,9,doctorate,12,24832,0,1,0,0,1,0
25,male,full,5,doctorate,18,25400,0,1,0,0,0,1
26,male,associate,11,doctorate,14,24800,0,1,0,0,1,0
27,female,full,5,doctorate,16,25500,1,0,0,0,0,1
28,male,associate,3,masters,7,26182,0,1,1,0,1,0
29,male,associate,3,masters,17,23725,0,1,1,0,1,0
30,female,assistant,10,masters,15,21600,1,0,1,1,0,0
31,male,associate,11,masters,31,23300,0,1,1,0,1,0
32,male,assistant,9,masters,14,23713,0,1,1,1,0,0
33,female,associate,4,masters,33,20690,1,0,1,0,1,0
34,female,associate,6,masters,29,22450,1,0,1,0,1,0
35,male,associate,1,doctorate,9,20850,0,1,0,0,1,0
36,female,assistant,8,doctorate,14,18304,1,0,0,1,0,0
37,male,assistant,4,doctorate,4,17095,0,1,0,1,0,0
38,male,assistant,4,doctorate,5,16700,0,1,0,1,0,0
39,male,assistant,4,doctorate,4,17600,0,1,0,1,0,0
40,male,assistant,3,doctorate,4,18075,0,1,0,1,0,0
41,male,assistant,3,masters,11,18000,0,1,1,1,0,0
42,male,associate,0,doctorate,7,20999,0,1,0,0,1,0
43,female,assistant,3,doctorate,3,17250,1,0,0,1,0,0
44,male,assistant,2,doctorate,3,16500,0,1,0,1,0,0
45,male,assistant,2,doctorate,1,16094,0,1,0,1,0,0
46,female,assistant,2,doctorate,6,16150,1,0,0,1,0,0
47,female,assistant,2,doctorate,2,15350,1,0,0,1,0,0
48,male,assistant,1,doctorate,1,16244,0,1,0,1,0,0
49,female,assistant,1,doctorate,1,16686,1,0,0,1,0,0
50,female,assistant,1,doctorate,1,15000,1,0,0,1,0,0
51,female,assistant,0,doctorate,2,20300,1,0,0,1,0,0
