,Years,Salary,Sex_female,Sex_male,Degree_masters,Rank_assistant,Rank_associate,Rank_full
0,25,36350,0,1,0,0,0,1
1,13,35350,0,1,0,0,0,1
2,10,28200,0,1,0,0,0,1
3,7,26775,1,0,0,0,0,1
4,19,33696,0,1,1,0,0,1
5,16,28516,0,1,0,0,0,1
6,0,24900,1,0,1,0,0,1
7,16,31909,0,1,0,0,0,1
8,13,31850,0,1,1,0,0,1
9,13,32850,0,1,1,0,0,1
10,12,27025,0,1,0,0,0,1
11,15,24750,0,1,0,0,1,0
12,9,28200,0,1,0,0,0,1
13,9,23712,0,1,1,0,1,0
14,9,25748,0,1,0,0,0,1
15,7,29342,0,1,0,0,0,1
16,13,31114,0,1,0,0,0,1
17,11,24742,0,1,1,0,1,0
18,10,22906,0,1,1,0,1,0
19,6,24450,0,1,1,0,0,1
20,16,19175,0,1,1,1,0,0
21,8,20525,0,1,1,0,1,0
22,7,27959,0,1,0,0,0,1
23,8,38045,1,0,0,0,0,1
24,9,24832,0,1,0,0,1,0
25,5,25400,0,1,0,0,0,1
26,11,24800,0,1,0,0,1,0
27,5,25500,1,0,0,0,0,1
28,3,26182,0,1,1,0,1,0
29,3,23725,0,1,1,0,1,0
30,10,21600,1,0,1,1,0,0
31,11,23300,0,1,1,0,1,0
32,9,23713,0,1,1,1,0,0
33,4,20690,1,0,1,0,1,0
34,6,22450,1,0,1,0,1,0
35,1,20850,0,1,0,0,1,0
36,8,18304,1,0,0,1,0,0
37,4,17095,0,1,0,1,0,0
38,4,16700,0,1,0,1,0,0
39,4,17600,0,1,0,1,0,0
40,3,18075,0,1,0,1,0,0
41,3,18000,0,1,1,1,0,0
42,0,20999,0,1,0,0,1,0
43,3,17250,1,0,0,1,0,0
44,2,16500,0,1,0,1,0,0
45,2,16094,0,1,0,1,0,0
46,2,16150,1,0,0,1,0,0
47,2,15350,1,0,0,1,0,0
48,1,16244,0,1,0,1,0,0
49,1,16686,1,0,0,1,0,0
50,1,15000,1,0,0,1,0,0
51,0,20300,1,0,0,1,0,0
